Year,Semester,Section,Num in Sec,Facultad,Curriculo
2020,1,3,28,6,62001
2020,1,3,29,9,90001
2020,1,3,30,9,90001
2020,1,3,31,6,61001
2020,1,3,32,6,62001
2020,1,3,33,9,90001
2020,1,3,34,9,90001
2020,1,3,35,9,90001
2020,1,3,36,33,330001
2020,1,3,37,6,61001
2020,1,3,38,6,62001
2020,1,3,39,3,30001
2020,1,3,40,9,90001
2020,1,3,41,6,62001
2020,1,3,42,4,40013
2020,1,3,43,6,62001
2020,1,3,44,9,90001
2020,1,3,45,4,40013
2020,1,3,46,4,40013
2020,1,3,47,9,90001
2020,1,3,48,4,40013
2020,1,3,49,4,40013
2020,1,3,50,4,40013
2020,1,3,51,4,40013
2020,1,3,52,9,90001
2020,1,3,53,4,40013
2020,1,3,54,20,207201
2020,1,3,55,9,90001
2020,1,3,56,4,40013
2020,1,3,57,4,40013
2020,1,3,58,9,90001
2020,1,3,59,4,40013
2020,1,3,60,9,90001
2020,1,3,61,6,62001
2020,1,3,62,4,40013
2020,1,3,63,4,40013
2020,1,3,64,5,50004
2020,1,3,65,20,207201
2020,1,3,66,4,40013
2020,1,3,67,6,61001
2020,1,3,68,4,40013
2020,1,3,69,9,90001
2020,1,3,70,6,61001
2020,1,3,71,4,40013
2020,1,3,72,4,40013
2020,1,3,73,6,61001
2020,1,3,74,4,40013
2020,1,3,75,3,30001
2020,1,3,76,6,62001
2020,1,3,77,6,61001
2020,1,3,78,6,62001
2020,1,3,79,4,40013
2020,1,3,80,12,121401
2020,1,3,81,6,62001
2020,1,3,82,6,61001
2020,1,3,83,9,90001
2020,1,3,84,9,90001
2020,1,3,85,4,40013
2020,1,3,86,6,61001
2020,1,3,87,3,30001
2020,1,3,88,4,40013
2020,1,3,89,9,90001
2020,1,3,90,9,90001
2020,1,3,91,4,40013
2020,1,3,92,9,90001
2020,1,3,93,9,90001
2020,1,3,94,9,90001
2020,1,3,95,6,62001
2020,1,3,96,9,90001
2020,1,3,97,12,120103
2020,1,3,98,6,62001
2020,1,3,99,4,40013
2020,1,3,100,10,100006
2020,1,3,101,6,62001
2020,1,3,102,6,62001
2020,1,3,103,9,90001
2020,1,3,104,9,90001
2020,1,3,105,9,90001
2020,1,3,106,6,61001
2020,1,3,107,9,90001
2020,1,7,1,5,50014
2020,1,7,2,5,50014
2020,1,7,3,5,50014
2020,1,7,4,5,50014
2020,1,7,5,5,50014
2020,1,7,6,9,90001
2020,1,7,7,5,50014
2020,1,7,8,5,50014
2020,1,7,9,5,50014
2020,1,7,10,5,50014
2020,1,7,11,5,50014
2020,1,7,12,5,50014
2020,1,7,13,5,50014
2020,1,7,14,5,50014
2020,1,7,15,5,50014
2020,1,7,16,5,50014
2020,1,7,17,5,50014
2020,1,7,18,5,50014
2020,1,7,19,5,50014
2020,1,7,20,5,50014
2020,1,7,21,5,50014
2020,1,7,22,5,50014
2020,1,7,23,5,50014
2020,1,7,24,5,50014
2020,1,7,25,5,50014
